Participant,L1,L11,L13,L14,L15,L2,L3,L7,Q01,Q02,T10,T12,T16,T4,T5,T6,T8,T9
Jieying,1,2,2,2,2,2,2,1,-1,-1,1,2,1,2,1,1,2,1
Jieying,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mengran,2,2,1,2,2,1,1,1,2,5,1,2,1,2,1,1,1,2
P03,2,1,2,1,1,1,1,1,2,3,1,2,2,2,1,1,1,2
P04,2,2,2,1,2,1,1,1,2,6,1,2,2,2,1,2,1,1
P05,2,1,1,1,2,1,1,2,1,5,2,2,1,2,2,2,1,1
P06,2,1,1,1,2,1,1,2,2,5,2,2,2,2,1,1,2,1
P07,2,1,1,1,2,1,1,1,1,6,1,2,2,2,2,2,2,2
P08,2,1,1,2,2,1,1,1,1,4,1,2,2,1,2,2,1,2
P09,2,2,1,1,2,1,1,2,1,5,1,2,2,1,1,1,2,2
P10,2,2,1,2,1,1,1,1,1,10,2,2,1,2,1,1,1,1
P11,2,1,1,2,2,1,2,2,1,6,2,2,2,2,1,1,2,2
P12,2,2,2,2,1,1,2,1,2,7,2,1,2,2,1,1,2,1
P13,2,1,2,2,2,2,1,2,1,3,2,2,1,2,2,1,1,1
P14,2,2,2,2,2,1,2,1,2,5,1,2,2,2,2,2,2,1
P15,2,2,2,2,2,2,1,1,2,4,1,2,1,2,1,1,1,1
P16,2,1,1,2,1,1,2,1,2,6,2,2,1,2,1,2,2,2
P17,1,1,2,2,2,1,1,1,1,5,2,1,2,2,2,2,2,2
P18,2,2,1,2,1,1,2,2,2,5,1,2,2,2,1,1,2,1
P19,2,1,1,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1
P20,1,2,2,2,2,1,1,2,2,6,1,2,1,2,1,1,1,1
P21,2,1,1,1,1,1,2,2,2,7,2,2,2,1,1,1,1,2
P23,2,1,2,1,1,2,1,1,2,8,1,2,2,2,1,1,1,2
P24,2,2,1,1,2,1,2,2,1,7,1,2,1,2,1,2,1,1
P25,2,2,1,2,2,1,1,1,2,7,1,2,2,2,1,2,1,2
P26,2,2,1,1,2,1,2,1,1,7,1,2,2,2,1,1,2,2
P27,2,2,1,2,2,1,2,1,2,6,1,2,2,2,1,1,1,1
P28,2,2,1,1,1,1,2,1,2,8,1,2,2,2,1,1,2,2
P29,2,2,2,2,2,1,1,1,2,5,2,2,1,2,1,2,2,2
P30,2,2,1,2,2,1,2,1,1,6,1,2,1,2,1,1,1,2
P31,1,2,1,2,1,1,1,1,2,5,2,2,1,2,2,2,2,1
Ting-Yu,2,1,2,2,2,1,2,1,1,5,1,2,2,1,1,1,1,2